'Time and date','ABPmean','ABPsys','ABPdias','HR','PULSE','RESP','SpO2','classe'
'hh:mm:ss dd/mm/yyyy','mmHg','mmHg','mmHg','bpm','bpm','bpm','%','value'
["'[02:17:35 22/10/1994]'", 77.0, 103.0, 64.0, 136.0, 131.0, 11.0, 97.0, 'Normal']
["'[02:17:36 22/10/1994]'", 77.0, 103.0, 64.0, 136.0, 131.0, 10.0, 97.0, 'Normal']
["'[02:17:37 22/10/1994]'", 77.0, 105.0, 65.0, 136.0, 131.0, 9.0, 97.0, 'Normal']
["'[02:17:38 22/10/1994]'", 78.0, 104.0, 65.0, 136.0, 131.0, 11.0, 97.0, 'Normal']
["'[02:17:39 22/10/1994]'", 77.0, 104.0, 64.0, 136.0, 131.0, 11.0, 97.0, 'Normal']
["'[02:17:40 22/10/1994]'", 77.0, 103.0, 64.0, 136.0, 132.0, 11.0, 97.0, 'Normal']
["'[02:17:41 22/10/1994]'", 77.0, 104.0, 64.0, 136.0, 132.0, 11.0, 97.0, 'Normal']
["'[02:17:42 22/10/1994]'", 77.0, 103.0, 64.0, 136.0, 132.0, 11.0, 97.0, 'Normal']
["'[02:17:43 22/10/1994]'", 77.0, 103.0, 64.0, 136.0, 135.0, 11.0, 97.0, 'Normal']
["'[02:17:44 22/10/1994]'", 77.0, 103.0, 64.0, 136.0, 135.0, 11.0, 97.0, 'Normal']
["'[02:17:45 22/10/1994]'", 78.0, 105.0, 64.0, 136.0, 135.0, 11.0, 97.0, 'Normal']
["'[02:17:46 22/10/1994]'", 78.0, 105.0, 65.0, 136.0, 135.0, 11.0, 97.0, 'Normal']
["'[02:17:47 22/10/1994]'", 77.0, 104.0, 64.0, 135.0, 135.0, 11.0, 97.0, 'Normal']
["'[02:17:48 22/10/1994]'", 76.0, 103.0, 64.0, 135.0, 134.0, 11.0, 97.0, 'Normal']
["'[02:17:49 22/10/1994]'", 76.0, 103.0, 63.0, 135.0, 134.0, 11.0, 97.0, 'Normal']
["'[02:17:50 22/10/1994]'", 77.0, 104.0, 64.0, 135.0, 134.0, 11.0, 97.0, 'Normal']
["'[02:17:51 22/10/1994]'", 77.0, 104.0, 64.0, 134.0, 134.0, 10.0, 97.0, 'Normal']
["'[02:17:52 22/10/1994]'", 76.0, 103.0, 63.0, 134.0, 134.0, 10.0, 97.0, 'Normal']
["'[02:17:53 22/10/1994]'", 76.0, 103.0, 63.0, 133.0, 134.0, 10.0, 97.0, 'Normal']
["'[02:17:54 22/10/1994]'", 76.0, 104.0, 63.0, 133.0, 134.0, 10.0, 97.0, 'Normal']
["'[02:17:55 22/10/1994]'", 76.0, 104.0, 64.0, 133.0, 134.0, 10.0, 97.0, 'Normal']
["'[02:17:56 22/10/1994]'", 76.0, 103.0, 63.0, 133.0, 134.0, 10.0, 97.0, 'Normal']
["'[02:17:58 22/10/1994]'", 75.0, 102.0, 62.0, 133.0, 134.0, 10.0, 97.0, 'Normal']
